
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
1.99999996e-002, -3.38738978e-001, 3.99999991e-002, 1.93167186e+000
1.99999996e-002, -3.39940190e-001, 3.99999991e-002, 1.91256785e+000
1.99999996e-002, -3.41141403e-001, 3.99999991e-002, 1.89346445e+000
1.99999996e-002, -3.42342615e-001, 3.99999991e-002, 1.87436211e+000
1.99999996e-002, -3.43543828e-001, 3.99999991e-002, 1.85528994e+000
1.99999996e-002, -3.44745040e-001, 3.99999991e-002, 1.83758020e+000
1.99999996e-002, -3.45946252e-001, 3.99999991e-002, 1.81987286e+000
1.99999996e-002, -3.47147465e-001, 3.99999991e-002, 1.80216801e+000
1.99999996e-002, -3.48348677e-001, 3.99999991e-002, 1.78446543e+000
1.99999996e-002, -3.49549890e-001, 3.99999991e-002, 1.76676559e+000
1.99999996e-002, -3.50751102e-001, 3.99999991e-002, 1.74906838e+000
1.99999996e-002, -3.51952314e-001, 3.99999991e-002, 1.73137379e+000
1.99999996e-002, -3.53153527e-001, 3.99999991e-002, 1.71368217e+000
1.99999996e-002, -3.54354739e-001, 3.99999991e-002, 1.69966018e+000
1.99999996e-002, -3.55555952e-001, 3.99999991e-002, 1.68779755e+000
1.99999996e-002, -3.56757164e-001, 3.99999991e-002, 1.67605805e+000
1.99999996e-002, -3.57958376e-001, 3.99999991e-002, 1.66444445e+000
1.99999996e-002, -3.59159589e-001, 3.99999991e-002, 1.65295947e+000
1.99999996e-002, -3.60360801e-001, 3.99999991e-002, 1.64160550e+000
1.99999996e-002, -3.61562014e-001, 3.99999991e-002, 1.63038564e+000
1.99999996e-002, -3.62763226e-001, 3.99999991e-002, 1.61930227e+000
1.99999996e-002, -3.63964438e-001, 3.99999991e-002, 1.60815632e+000
1.99999996e-002, -3.65165651e-001, 3.99999991e-002, 1.59690213e+000
1.99999996e-002, -3.66366863e-001, 3.99999991e-002, 1.58632970e+000
1.99999996e-002, -3.67568076e-001, 3.99999991e-002, 1.57645249e+000
1.99999996e-002, -3.68769288e-001, 3.99999991e-002, 1.56728375e+000
1.99999996e-002, -3.69970500e-001, 3.99999991e-002, 1.55883598e+000
1.99999996e-002, -3.71171713e-001, 3.99999991e-002, 1.55112076e+000
1.99999996e-002, -3.72372925e-001, 3.99999991e-002, 1.54414940e+000
1.99999996e-002, -3.73574138e-001, 3.99999991e-002, 1.53793180e+000
1.99999996e-002, -3.74775350e-001, 3.99999991e-002, 1.53141046e+000
1.99999996e-002, -3.75976563e-001, 3.99999991e-002, 1.52519417e+000
1.99999996e-002, -3.77177775e-001, 3.99999991e-002, 1.51941037e+000
1.99999996e-002, -3.78378987e-001, 3.99999991e-002, 1.51406407e+000
1.99999996e-002, -3.79580200e-001, 3.99999991e-002, 1.50915945e+000
1.99999996e-002, -3.80781412e-001, 3.99999991e-002, 1.50470066e+000
1.99999996e-002, -3.81982625e-001, 3.99999991e-002, 1.50069249e+000
1.99999996e-002, -3.83183837e-001, 3.99999991e-002, 1.49713767e+000
1.99999996e-002, -3.84385049e-001, 3.99999991e-002, 1.49517202e+000
1.99999996e-002, -3.85586262e-001, 3.99999991e-002, 1.49441576e+000
1.99999996e-002, -3.86787474e-001, 3.99999991e-002, 1.49366140e+000
1.99999996e-002, -3.87988687e-001, 3.99999991e-002, 1.49290907e+000
1.99999996e-002, -3.89189899e-001, 3.99999991e-002, 1.49215841e+000
1.99999996e-002, -3.90391111e-001, 3.99999991e-002, 1.49140942e+000
1.99999996e-002, -3.91592324e-001, 3.99999991e-002, 1.49066257e+000
1.99999996e-002, -3.92793536e-001, 3.99999991e-002, 1.48991740e+000
1.99999996e-002, -3.93994749e-001, 3.99999991e-002, 1.49039328e+000
1.99999996e-002, -3.95195961e-001, 3.99999991e-002, 1.49899161e+000
1.99999996e-002, -3.96397173e-001, 3.99999991e-002, 1.50760067e+000
1.99999996e-002, -3.97598386e-001, 3.99999991e-002, 1.51621997e+000
1.99999996e-002, -3.98799598e-001, 3.99999991e-002, 1.52485001e+000
1.99999996e-002, -4.00000811e-001, 3.99999991e-002, 1.53349018e+000
1.99999996e-002, -4.01202023e-001, 3.99999991e-002, 1.54214013e+000
1.99999996e-002, -4.02403235e-001, 3.99999991e-002, 1.55079997e+000
1.99999996e-002, -4.03604448e-001, 3.99999991e-002, 1.55946970e+000
1.99999996e-002, -4.04805660e-001, 3.99999991e-002, 1.57678139e+000
1.99999996e-002, -4.06006873e-001, 3.99999991e-002, 1.59693027e+000
1.99999996e-002, -4.07208085e-001, 3.99999991e-002, 1.61708724e+000
1.99999996e-002, -4.08409297e-001, 3.99999991e-002, 1.63725197e+000
1.99999996e-002, -4.09610510e-001, 3.99999991e-002, 1.65742373e+000
1.99999996e-002, -4.10811722e-001, 3.99999991e-002, 1.67760253e+000
1.99999996e-002, -4.12012935e-001, 3.99999991e-002, 1.69778860e+000
1.99999996e-002, -4.13214147e-001, 3.99999991e-002, 1.71798086e+000
1.99999996e-002, -4.14415359e-001, 3.99999991e-002, 1.73948956e+000
1.99999996e-002, -4.15616572e-001, 3.99999991e-002, 1.76327538e+000
1.99999996e-002, -4.16817784e-001, 3.99999991e-002, 1.78717959e+000
1.99999996e-002, -4.18018997e-001, 3.99999991e-002, 1.81119728e+000
1.99999996e-002, -4.19220209e-001, 3.99999991e-002, 1.83532393e+000
1.99999996e-002, -4.20421422e-001, 3.99999991e-002, 1.85955584e+000
